_id,Time,Device_ID,Device_Name,Latitude,Longitude,Location,TTN_metadata
11,2021-05-07T12:04:07+10:00,dlb_atm41_5282,DLB ATM41 Charlestown Skate Park,-32.96599,151.69513,"-32.96599,151.69513","{""location_source"": ""registry"", ""data_rate"": ""SF7BW125"", ""modulation"": ""LORA"", ""longitude"": 151.69513, ""coding_rate"": ""4/5"", ""frequency"": 922.8, ""gateways"": [{""gtw_id"": ""eui-00800000a00065f4"", ""timestamp"": 4228468236, ""altitude"": 42, ""longitude"": 151.64314, ""rf_chain"": 0, ""snr"": -6, ""time"": ""2021-05-07T02:04:07.064925Z"", ""latitude"": -32.97119, ""rssi"": -120, ""channel"": 5}, {""gtw_id"": ""eui-00800000a00026ba"", ""timestamp"": 2602232444, ""altitude"": 119, ""longitude"": 151.69403, ""rf_chain"": 0, ""snr"": 9, ""time"": ""2021-05-07T02:04:07.064906Z"", ""latitude"": -32.96713, ""rssi"": -72, ""channel"": 5}, {""gtw_id"": ""eui-00800000a00034d2"", ""timestamp"": 2863120220, ""altitude"": 135, ""longitude"": 151.71448, ""rf_chain"": 0, ""snr"": 9, ""time"": ""2021-05-07T02:04:07.064919Z"", ""latitude"": -32.9786, ""rssi"": -101, ""channel"": 5}], ""time"": ""2021-05-07T02:04:07.09363397Z"", ""latitude"": -32.96599}"
12,2021-05-07T11:54:04+10:00,dlb_atm41_5282,DLB ATM41 Charlestown Skate Park,-32.96599,151.69513,"-32.96599,151.69513","{""location_source"": ""registry"", ""data_rate"": ""SF7BW125"", ""modulation"": ""LORA"", ""longitude"": 151.69513, ""coding_rate"": ""4/5"", ""frequency"": 922.6, ""gateways"": [{""gtw_id"": ""eui-00800000a00065fa"", ""timestamp"": 797670035, ""altitude"": 40, ""longitude"": 151.64558, ""rf_chain"": 0, ""snr"": 6.8, ""time"": ""2021-05-07T01:54:04.103578Z"", ""latitude"": -32.93279, ""rssi"": -112, ""channel"": 4}, {""gtw_id"": ""eui-00800000a00026ba"", ""timestamp"": 1999271907, ""altitude"": 127, ""longitude"": 151.69402, ""rf_chain"": 0, ""snr"": 10.2, ""time"": ""2021-05-07T01:54:04.103559Z"", ""latitude"": -32.9671, ""rssi"": -75, ""channel"": 4}, {""gtw_id"": ""eui-00800000a00034d2"", ""timestamp"": 2260159643, ""altitude"": 135, ""longitude"": 151.71448, ""rf_chain"": 0, ""snr"": 10.2, ""time"": ""2021-05-07T01:54:04.103566Z"", ""latitude"": -32.97858, ""rssi"": -103, ""channel"": 4}], ""time"": ""2021-05-07T01:54:04.15251483Z"", ""latitude"": -32.96599}"
13,2021-05-07T11:44:07+10:00,dlb_atm41_5282,DLB ATM41 Charlestown Skate Park,-32.96599,151.69513,"-32.96599,151.69513","{""location_source"": ""registry"", ""data_rate"": ""SF7BW125"", ""modulation"": ""LORA"", ""longitude"": 151.69513, ""coding_rate"": ""4/5"", ""frequency"": 923, ""gateways"": [{""gtw_id"": ""eui-00800000a00065f4"", ""timestamp"": 3029006932, ""altitude"": 57, ""longitude"": 151.6427, ""rf_chain"": 0, ""snr"": -4.2, ""time"": ""2021-05-07T01:44:07.60266Z"", ""latitude"": -32.97122, ""rssi"": -120, ""channel"": 6}, {""gtw_id"": ""eui-00800000a00065fa"", ""timestamp"": 201169748, ""altitude"": 41, ""longitude"": 151.64557, ""rf_chain"": 0, ""snr"": 4.8, ""time"": ""2021-05-07T01:44:07.602662Z"", ""latitude"": -32.93297, ""rssi"": -113, ""channel"": 6}, {""gtw_id"": ""eui-00800000a00034d2"", ""timestamp"": 1663659492, ""altitude"": 124, ""longitude"": 151.71452, ""rf_chain"": 0, ""snr"": 6.5, ""time"": ""2021-05-07T01:44:07.602652Z"", ""latitude"": -32.9786, ""rssi"": -109, ""channel"": 6}, {""gtw_id"": ""eui-00800000a00026ba"", ""timestamp"": 1402771788, ""altitude"": 130, ""longitude"": 151.6938, ""rf_chain"": 0, ""snr"": 7.8, ""time"": ""2021-05-07T01:44:07.60264Z"", ""latitude"": -32.9671, ""rssi"": -67, ""channel"": 6}], ""time"": ""2021-05-07T01:44:07.614170773Z"", ""latitude"": -32.96599}"
14,2021-05-07T11:34:05+10:00,dlb_atm41_5282,DLB ATM41 Charlestown Skate Park,-32.96599,151.69513,"-32.96599,151.69513","{""location_source"": ""registry"", ""data_rate"": ""SF7BW125"", ""modulation"": ""LORA"", ""longitude"": 151.69513, ""coding_rate"": ""4/5"", ""frequency"": 922.4, ""gateways"": [{""gtw_id"": ""eui-00800000a00065fa"", ""timestamp"": 3894400091, ""altitude"": 58, ""longitude"": 151.64523, ""rf_chain"": 0, ""snr"": 6, ""time"": ""2021-05-07T01:34:05.865074Z"", ""latitude"": -32.93298, ""rssi"": -106, ""channel"": 3}, {""gtw_id"": ""eui-00800000a00026ba"", ""timestamp"": 801035003, ""altitude"": 180, ""longitude"": 151.6928, ""rf_chain"": 0, ""snr"": 9.5, ""time"": ""2021-05-07T01:34:05.865057Z"", ""latitude"": -32.96708, ""rssi"": -72, ""channel"": 3}], ""time"": ""2021-05-07T01:34:05.902381156Z"", ""latitude"": -32.96599}"
15,2021-05-07T11:24:06+10:00,dlb_atm41_5282,DLB ATM41 Charlestown Skate Park,-32.96599,151.69513,"-32.96599,151.69513","{""location_source"": ""registry"", ""data_rate"": ""SF7BW125"", ""modulation"": ""LORA"", ""longitude"": 151.69513, ""coding_rate"": ""4/5"", ""frequency"": 923.4, ""gateways"": [{""gtw_id"": ""eui-00800000a00065f4"", ""timestamp"": 1827904563, ""altitude"": 43, ""longitude"": 151.6432, ""rf_chain"": 0, ""snr"": 0.8, ""time"": ""2021-05-07T01:24:06.499305Z"", ""latitude"": -32.97117, ""rssi"": -118, ""channel"": 1}, {""gtw_id"": ""eui-00800000a00065fa"", ""timestamp"": 3295034963, ""altitude"": 40, ""longitude"": 151.64546, ""rf_chain"": 0, ""snr"": 3, ""time"": """", ""latitude"": -32.933, ""rssi"": -115, ""channel"": 1}, {""gtw_id"": ""eui-00800000a00034d2"", ""timestamp"": 462557683, ""altitude"": 119, ""longitude"": 151.71452, ""rf_chain"": 0, ""snr"": 7.8, ""time"": """", ""latitude"": -32.97858, ""rssi"": -108, ""channel"": 1}, {""gtw_id"": ""eui-00800000a00026ba"", ""timestamp"": 201670035, ""altitude"": 136, ""longitude"": 151.69392, ""rf_chain"": 0, ""snr"": 9.8, ""time"": ""2021-05-07T01:24:06.499291Z"", ""latitude"": -32.96705, ""rssi"": -75, ""channel"": 1}], ""time"": ""2021-05-07T01:24:06.523911065Z"", ""latitude"": -32.96599}"
16,2021-05-07T11:14:08+10:00,dlb_atm41_5282,DLB ATM41 Charlestown Skate Park,-32.96599,151.69513,"-32.96599,151.69513","{""location_source"": ""registry"", ""data_rate"": ""SF7BW125"", ""modulation"": ""LORA"", ""longitude"": 151.69513, ""coding_rate"": ""4/5"", ""frequency"": 922.6, ""gateways"": [{""gtw_id"": ""eui-00800000a00065fa"", ""timestamp"": 2696987371, ""altitude"": -42, ""longitude"": 151.64536, ""rf_chain"": 0, ""snr"": 6.5, ""time"": """", ""latitude"": -32.93308, ""rssi"": -108, ""channel"": 4}, {""gtw_id"": ""eui-00800000a00034d2"", ""timestamp"": 4159477507, ""altitude"": 128, ""longitude"": 151.71448, ""rf_chain"": 0, ""snr"": 8, ""time"": ""2021-05-07T01:14:08.451065Z"", ""latitude"": -32.97859, ""rssi"": -92, ""channel"": 4}, {""gtw_id"": ""eui-00800000a00026ba"", ""timestamp"": 3898589899, ""altitude"": 127, ""longitude"": 151.6939, ""rf_chain"": 0, ""snr"": 9.2, ""time"": ""2021-05-07T01:14:08.45106Z"", ""latitude"": -32.96712, ""rssi"": -75, ""channel"": 4}], ""time"": ""2021-05-07T01:14:08.475287947Z"", ""latitude"": -32.96599}"
17,2021-05-07T11:04:11+10:00,dlb_atm41_5282,DLB ATM41 Charlestown Skate Park,-32.96599,151.69513,"-32.96599,151.69513","{""location_source"": ""registry"", ""data_rate"": ""SF7BW125"", ""modulation"": ""LORA"", ""longitude"": 151.69513, ""coding_rate"": ""4/5"", ""frequency"": 923, ""gateways"": [{""gtw_id"": ""eui-00800000a00065f4"", ""timestamp"": 632650852, ""altitude"": 27, ""longitude"": 151.64333, ""rf_chain"": 0, ""snr"": -3.8, ""time"": ""2021-05-07T01:04:11.244653Z"", ""latitude"": -32.97126, ""rssi"": -117, ""channel"": 6}, {""gtw_id"": ""eui-00800000a00065fa"", ""timestamp"": 2099781588, ""altitude"": -52, ""longitude"": 151.64528, ""rf_chain"": 0, ""snr"": 4.8, ""time"": ""2021-05-07T01:04:11.244657Z"", ""latitude"": -32.93309, ""rssi"": -110, ""channel"": 6}], ""time"": ""2021-05-07T01:04:11.271488663Z"", ""latitude"": -32.96599}"
18,2021-05-07T10:54:09+10:00,dlb_atm41_5282,DLB ATM41 Charlestown Skate Park,-32.96599,151.69513,"-32.96599,151.69513","{""location_source"": ""registry"", ""data_rate"": ""SF7BW125"", ""modulation"": ""LORA"", ""longitude"": 151.69513, ""coding_rate"": ""4/5"", ""frequency"": 922.4, ""gateways"": [{""gtw_id"": ""eui-00800000a00065fa"", ""timestamp"": 1498403155, ""altitude"": 46, ""longitude"": 151.64548, ""rf_chain"": 0, ""snr"": 5.8, ""time"": ""2021-05-07T00:54:09.86558Z"", ""latitude"": -32.93296, ""rssi"": -107, ""channel"": 3}, {""gtw_id"": ""eui-00800000a00034d2"", ""timestamp"": 2960893539, ""altitude"": 133, ""longitude"": 151.71445, ""rf_chain"": 0, ""snr"": 8.2, ""time"": ""2021-05-07T00:54:09.865569Z"", ""latitude"": -32.9786, ""rssi"": -97, ""channel"": 3}, {""gtw_id"": ""eui-00800000a00026ba"", ""timestamp"": 2700006043, ""altitude"": 123, ""longitude"": 151.6939, ""rf_chain"": 0, ""snr"": 8.5, ""time"": """", ""latitude"": -32.96717, ""rssi"": -71, ""channel"": 3}], ""time"": ""2021-05-07T00:54:09.918269936Z"", ""latitude"": -32.96599}"
19,2021-05-07T10:44:04+10:00,dlb_atm41_5282,DLB ATM41 Charlestown Skate Park,-32.96599,151.69513,"-32.96599,151.69513","{""location_source"": ""registry"", ""data_rate"": ""SF7BW125"", ""modulation"": ""LORA"", ""longitude"": 151.69513, ""coding_rate"": ""4/5"", ""frequency"": 922.6, ""gateways"": [{""gtw_id"": ""eui-00800000a000656c"", ""timestamp"": 3205833995, ""altitude"": 12, ""longitude"": 151.65742, ""rf_chain"": 0, ""snr"": -7.5, ""time"": """", ""latitude"": -33.08056, ""rssi"": -119, ""channel"": 4}, {""gtw_id"": ""eui-00800000a00065fa"", ""timestamp"": 893115387, ""altitude"": 48, ""longitude"": 151.64548, ""rf_chain"": 0, ""snr"": 5.8, ""time"": ""2021-05-07T00:44:04.577164Z"", ""latitude"": -32.93297, ""rssi"": -113, ""channel"": 4}, {""gtw_id"": ""eui-00800000a00034d2"", ""timestamp"": 2355605891, ""altitude"": 128, ""longitude"": 151.71448, ""rf_chain"": 0, ""snr"": 8.8, ""time"": ""2021-05-07T00:44:04.577148Z"", ""latitude"": -32.9786, ""rssi"": -102, ""channel"": 4}, {""gtw_id"": ""eui-00800000a00026ba"", ""timestamp"": 2094718483, ""altitude"": 133, ""longitude"": 151.69388, ""rf_chain"": 0, ""snr"": 9.8, ""time"": ""2021-05-07T00:44:04.577142Z"", ""latitude"": -32.9672, ""rssi"": -75, ""channel"": 4}], ""time"": ""2021-05-07T00:44:04.612931356Z"", ""latitude"": -32.96599}"
20,2021-05-07T10:34:07+10:00,dlb_atm41_5282,DLB ATM41 Charlestown Skate Park,-32.96599,151.69513,"-32.96599,151.69513","{""location_source"": ""registry"", ""data_rate"": ""SF7BW125"", ""modulation"": ""LORA"", ""longitude"": 151.69513, ""coding_rate"": ""4/5"", ""frequency"": 922.8, ""gateways"": [{""gtw_id"": ""eui-00800000a00065f4"", ""timestamp"": 3123850012, ""altitude"": 36, ""longitude"": 151.64316, ""rf_chain"": 0, ""snr"": -4, ""time"": ""2021-05-07T00:34:07.475137Z"", ""latitude"": -32.9712, ""rssi"": -118, ""channel"": 5}, {""gtw_id"": ""eui-00800000a00065fa"", ""timestamp"": 296014004, ""altitude"": 40, ""longitude"": 151.6455, ""rf_chain"": 0, ""snr"": 4.8, ""time"": ""2021-05-07T00:34:07.475141Z"", ""latitude"": -32.93297, ""rssi"": -111, ""channel"": 5}, {""gtw_id"": ""eui-00800000a00034d2"", ""timestamp"": 1758504636, ""altitude"": 131, ""longitude"": 151.71446, ""rf_chain"": 0, ""snr"": 9, ""time"": ""2021-05-07T00:34:07.475131Z"", ""latitude"": -32.97856, ""rssi"": -102, ""channel"": 5}, {""gtw_id"": ""eui-00800000a00026ba"", ""timestamp"": 1497617260, ""altitude"": 121, ""longitude"": 151.69388, ""rf_chain"": 0, ""snr"": 9.5, ""time"": ""2021-05-07T00:34:07.475123Z"", ""latitude"": -32.96713, ""rssi"": -75, ""channel"": 5}], ""time"": ""2021-05-07T00:34:07.503406657Z"", ""latitude"": -32.96599}"
